epoch,train_loss,valid_loss,accuracy
1,0.581817,0.635188,0.803133
2,0.494004,0.421146,0.806511
3,0.424890,0.366612,0.824324
4,0.392426,0.352371,0.832002
5,0.376917,0.367902,0.834613
6,0.366896,0.354388,0.829238
7,0.359786,0.352896,0.832617
8,0.356821,0.348270,0.838452
9,0.353085,0.344910,0.837070
10,0.349228,0.345127,0.837224
11,0.346859,0.343187,0.840448
12,0.343357,0.345839,0.838759
13,0.340485,0.354100,0.828931
14,0.337175,0.349769,0.841830
15,0.333308,0.350359,0.838913
16,0.328539,0.354650,0.836609
17,0.324172,0.355272,0.836609
18,0.319596,0.360212,0.833845
19,0.316158,0.361013,0.837377
20,0.312935,0.360949,0.835842
