epoch,train_loss,valid_loss,accuracy
1,0.630872,0.688250,0.523956
2,0.542046,0.399133,0.832156
3,0.454792,0.373840,0.821714
4,0.407279,0.353502,0.838606
5,0.382981,0.353205,0.833077
6,0.367373,0.356472,0.834767
7,0.361313,0.352637,0.835534
8,0.355898,0.356149,0.830467
9,0.350184,0.351859,0.832002
10,0.346943,0.351581,0.832924
11,0.344002,0.352551,0.837224
12,0.340563,0.353269,0.838452
13,0.337844,0.353956,0.838298
14,0.334763,0.358952,0.838913
15,0.332185,0.355484,0.833538
16,0.328834,0.356120,0.836763
17,0.325165,0.358242,0.837224
18,0.322142,0.359718,0.837070
19,0.319970,0.360423,0.836609
20,0.318729,0.361091,0.835534
